UTC                  stall_s              step listItems_s
2026-09-17 00:41:23     12.4    refreshStorage        12.2
2026-09-17 00:53:49      8.3    refreshStorage         8.3
2026-09-21 01:26:43     11.3    refreshStorage        11.3
2026-09-21 01:28:16      9.7    refreshStorage         9.6
2026-09-21 01:29:31     29.0    refreshStorage        29.0
2026-09-21 01:34:00     17.7    refreshStorage        15.3
2026-09-21 01:34:58     12.0    refreshStorage        11.9
2026-09-21 01:36:00     21.6    refreshStorage        21.5
2026-09-21 01:37:01     21.8    refreshStorage        21.7
2026-09-21 01:38:12     11.5    refreshStorage        11.4
2026-09-21 01:41:35     29.2    refreshStorage        29.1
2026-09-21 01:43:50     11.8  refreshCraftable         0.0
2026-09-21 03:05:44     10.2    refreshStorage        10.2
2026-09-21 03:28:15      9.7    refreshStorage         9.6
2026-09-21 04:17:28     19.5    refreshStorage        19.5
2026-09-21 04:25:40     18.4    refreshStorage        18.3
2026-09-21 05:57:49     11.3    refreshStorage        11.2
2026-09-21 05:59:10     13.0    refreshStorage        12.9
2026-09-21 06:26:56      9.8    refreshStorage         9.7
2026-09-21 06:34:42      8.2    refreshStorage         8.1
2026-09-21 07:14:04      7.0    refreshStorage         6.9
2026-09-21 07:33:01     11.5    refreshStorage        11.4
2026-09-21 07:40:42      9.7    refreshStorage         9.7
2026-09-21 07:41:42      7.4    refreshStorage         7.3
2026-09-21 07:42:36      8.0    refreshStorage         7.9
2026-09-21 07:43:31      8.3    refreshStorage         8.2
2026-09-21 07:46:50     11.2    refreshStorage        11.2
2026-09-21 07:47:32     12.0    refreshStorage        11.9
2026-09-21 07:48:48      8.7    refreshStorage         8.7
2026-09-21 07:49:23     11.9    refreshStorage        11.9
2026-09-21 07:50:05     11.9    refreshStorage        11.8
2026-09-21 07:50:42      9.2    refreshStorage         9.2
2026-09-21 07:57:01     10.5    refreshStorage        10.4
2026-09-21 18:42:14      9.9    refreshStorage         9.8
2026-09-21 18:45:34     10.2    refreshStorage        10.1
2026-09-21 18:46:18     12.9    refreshStorage        12.8
2026-09-21 18:47:20      9.1    refreshStorage         9.0
2026-09-21 18:48:06      8.7    refreshStorage         8.7
2026-09-21 18:49:38     12.9    refreshStorage        12.8
2026-09-21 18:50:23      5.9    refreshStorage         5.9
2026-09-21 18:53:32      7.8    refreshStorage         7.7
2026-09-21 18:56:34      9.1    refreshStorage         9.0
2026-09-21 18:59:01      8.1    refreshStorage         8.0
2026-09-21 19:01:45      9.5    refreshStorage         9.4
2026-09-21 19:42:38      5.1  refreshCraftable         0.0
2026-09-21 20:06:28     10.2    refreshStorage        10.2
2026-09-21 20:17:44     10.6    refreshStorage        10.5
2026-09-21 20:36:12     14.4    refreshStorage        14.3
2026-09-21 21:20:45      6.7    refreshStorage         6.7
2026-09-21 21:21:14      9.6    refreshStorage         9.5
2026-09-21 21:40:02     11.2    refreshStorage        11.2
2026-09-21 23:01:36     15.6    refreshStorage        15.6
2026-09-21 23:02:44     10.5    refreshStorage        10.4
2026-09-21 23:32:14     21.8    refreshStorage        21.7
2026-09-22 00:19:38      9.2  refreshCraftable         0.0
2026-09-22 00:26:43     10.9  refreshCraftable         0.0
2026-09-22 00:39:09     11.4    refreshStorage        11.3
2026-09-22 00:39:51     11.4    refreshStorage        11.4
2026-09-22 00:44:02     10.1    refreshStorage        10.0
2026-09-22 00:45:07      6.9    refreshStorage         6.8
2026-09-22 00:45:31      9.8    refreshStorage         9.7
2026-09-22 00:45:58     11.8    refreshStorage        11.6
2026-09-22 00:46:30     10.6    refreshStorage        10.5
2026-09-22 00:47:06      7.3    refreshStorage         7.2
2026-09-22 00:50:35      8.2    refreshStorage         8.2
2026-09-22 00:51:37      5.8    refreshStorage         5.7
2026-09-22 00:52:16     12.4    refreshStorage        12.3
2026-09-22 00:52:59     11.6    refreshStorage        11.5
2026-09-22 05:26:47      8.2    refreshStorage         8.1

69 stalls >= 5s
